Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,84,34427,31867,24308,235,2230,90,330,1596,80,357
C:\xampp\htdocs\sai_general_store,84,34427,31867,24308,235,2230,90,330,1596,80,357
C:\xampp\htdocs\sai_general_store\admin,46,23902,22799,16781,98,855,51,248,917,49,217
C:\xampp\htdocs\sai_general_store\admin\css,13,11604,11141,10277,0,282,12,181,498,28,112
C:\xampp\htdocs\sai_general_store\admin\stadium,19,10138,9891,6000,17,183,20,64,387,21,105
C:\xampp\htdocs\sai_general_store\admin\stadium\css,6,8558,8408,5796,0,86,10,64,359,21,105
C:\xampp\htdocs\sai_general_store\assets,2,192,158,123,0,33,0,1,3,0,0
C:\xampp\htdocs\sai_general_store\assets\css,2,192,158,123,0,33,0,1,3,0,0
C:\xampp\htdocs\sai_general_store\css,11,3973,3477,5782,0,447,9,49,372,31,140
C:\xampp\htdocs\sai_general_store\css\bootstrap,1,7,1,1710,0,0,1,6,25,5,22
C:\xampp\htdocs\sai_general_store\css\others,5,3390,2962,3057,0,403,1,25,252,8,38
C:\xampp\htdocs\sai_general_store\css\responsive,1,323,320,221,0,3,0,0,0,0,0
C:\xampp\htdocs\sai_general_store\css\validation,2,24,3,2,0,3,0,18,71,18,71
C:\xampp\htdocs\sai_general_store\css\validation\css,2,24,3,2,0,3,0,18,71,18,71
