File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\xampp\htdocs\sai_general_store\bank.php,rightclickD(e),1,1,2,0,0,0,0,0,
C:\xampp\htdocs\sai_general_store\bank.php,ValidateForm(),10,9,6,1,1,0,0,0,
C:\xampp\htdocs\sai_general_store\dbconfig.php,iud($query),6,6,6,1,0,0,0,0,
C:\xampp\htdocs\sai_general_store\dbconfig.php,select($query),5,5,5,1,0,0,0,0,
C:\xampp\htdocs\sai_general_store\form.php,applyvalidations($form_id),16,15,11,0,1,1,0,7,
C:\xampp\htdocs\sai_general_store\payment.php,payWithStripe(e),54,40,31,2,8,1,6,40,
C:\xampp\htdocs\sai_general_store\payment.php,"function(value, element)",4,3,3,1,0,0,1,6,
C:\xampp\htdocs\sai_general_store\payment.php,"function(value, element)",2,2,2,1,0,0,0,0,
C:\xampp\htdocs\sai_general_store\admin\dbconfig.php,iud($query),7,6,6,1,0,0,1,4,
C:\xampp\htdocs\sai_general_store\admin\dbconfig.php,select($query),5,5,5,1,0,0,0,0,
C:\xampp\htdocs\sai_general_store\admin\validation.php,checkmobile($mobile),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\sai_general_store\admin\validation.php,checkemail($email),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\sai_general_store\admin\validation.php,"checklength($str, $length)",2,2,2,1,0,0,0,0,
